Oplijsting overlegfora federaal/Digitaal Vlaanderen;;;;;;;;;;;
Met deze sheet willen we  de structurele en formele overlegfora (genre ICEG, Digital Decade Board, CSPI, INSPIRE CC, ...) met onze federale collega's in kaart brengen;;;;;;;;;;;
;;;;;;;;;;;
Naam forum;Doel forum;Deelnemers vanuit DV;Andere deelnemers;Periodiciteit;Opmerkingen;Formeel/informeel;FOD;Strategisch/Operationeel;Communicatie;Legistieke verankering;
KSZ Werkgroep Registers (Persoonsdiensten);;Cedric Van Assche;;4/jaar;Datagovernance-team betrekken;Formeel;KSZ;Beide, focus op strategisch;Geen agenda vooraf, PPT-presentatie wordt gedeeld achteraf;Wettelijke verankering in bovenstaande wet, geen verankering van de werkgroep zelf. Gewoon dat er werkgroepen kunnen zijn;
DMFA werkgroep;Ad hoc wanneer er een bronwijziging is;Joris Gaens;;max 4/jaar;"KSZ
Datagovernance-team betrekken";Informeel;KSZ;Operationeel;Agenda en presentatie beschikbaar, geen verslag;Wettelijke verankering in bovenstaande wet, geen verankering van de werkgroep zelf. Gewoon dat er werkgroepen kunnen zijn;
Comité van beheer van het NGI ;nemen van belangrijke strategische beslissingen voor NGI, raadgevende stem;Ziggy Vanlishout, Evelien D'Heer, Jan Laporte (Plaatsvervanger)  ;;kwartaal;;Formeel;NGI;Strategisch;ad hoc;Mandaat gegeven aan Ziggy door de VO. ;
Coördinatieoverleg Digitaal Vlaanderen - NGI ;Overleg tussen DV en NGI rond Geo en open data oa. Rond (her)gebruik van basiskaart, gebouwen- en adressenregister, wegenregister door NGI (en federale instanties), in kader samenwerkingsakkoord met NGI ivm hergebruik van luchtbeelden, INSPIRE;Bart Rosseau, Liesbet De Wolf, Evelien D'heer;;2/jaar;;Formeel;NGI;Strategisch;Reminder;;
Plenaire sessie DIV Expose project;Maandelijks overleg met de belangrijkste afnemers van de Kruispunt Databank Voertuigen, overleg is in het leven geroepen om de conversie van SOAP naar Rest en aansluiten via MAGDA (ipv rechtstreekse aansluiting) te faciliteren;Marc Deleu;;maandelijks;;Informeel;FOD Mobiliteit en vervoer;Operationeel;Verslag opgemaakt, verdeling naar de belanghebbenden;;
Earth Observation Research Programme STEREO - Stereo-comité;Als lid van comité wordt onderzoeksprogramma STEREO mbt aardobervatie BELSPO (Programmatorische Federale Overheidsdienst Wetenschapsbeleid) mee opgevolgd.;Jo Van Valckenborgh;;facultatief, max 1/jaar;POD Wetenschapsbeleid;Formeel;Programmatorische Federale Overheidsdienst Wetenschapsbeleid;Operationeel;Agenda, geen verslag;;
National Cybersecurity Council Belgium (NCCB) ;Verenigt alle overheden, zowel op federaal als op regionaal niveau, die cyberveiligheidsdiensten aanbieden aan de bevolking of aan in België gevestigde organisaties, waaronder bedrijven, openbare entiteiten en organisaties van vitaal belang. Het doel is een wederzijdse uitwisseling van informatie over alle lopende projecten te ondersteunen om een gecoördineerde aanpak mogelijk te maken.;Johan Smekens;federaal + andere regio's (ook WEWIS);1/kwartaal;Voorzitterschap = CCB;Formeel;CCB;Strategisch;Via mail;Geen vermelding van dit orgaan, maar in KB van 10/10/2014 wel een vermelding dat CCB de coördinatie moet verzekeren tussen betrokken diensten en overheden: https://www.ejustice.just.fgov.be/cgi/article_body.pl?language=nl&caller=summary&pub_date=14-11-21&numac=2014207006;
IEA NCA coordination working group;coordinatie uitvoering IEA act in Belgie;Ziggy Vanlishout;federaal + andere regio's;ad hoc;"BOSA = SPOC voorzitter
Observatorium-project is ook betrokken
Hoe wordt dit overleg intern voorbereid?";Formeel;FOD BOSA;Operationeel;ECI kernteam;;
OC Vitalink;Vitalink is een digitaal platform voor het delen van gezondheidsinformatie. Hiermee kunnen zorgverleners o.a. vaccinatiegegevens, medicatieschema's en samenvattingen van medische dossiers veilig delen;Sven Pletinckx;Zorginstellingen, WVG, athumi, Vlaamse overheid;Maandelijks;"Wie neemt over van Sven?
Datagovernance informeren van de resultaten";;;Strategisch;;;
BE EDIB;Afstemming tussen federaal en regio's in kader van de European Data and Innovation Board (EDIB). EDIB is Europees overleg orgaan dat zowel DGA (Data Governance Act) als de DA (Data Act) opvolgt;Simon Claus, Hans Arents;FOD Economie, BOSA, Paradigm, Agence Numérique, Digitaal Vlaanderen;4 keer per jaar komt EDIB samen, hierin wordt belgië vertegenwoordigd door FOD Economie. Zowel DV ald Agence Numérique zijn 'alternate members'. Er  zijn ad-hoc vergaderingen (2-3 keer per jaar) met BE EDIB partners;;EDIB Formeel/ BE EDIB Informeel;FOD Economie;Advisory board (Strategisch+Operationeel);;;
Fedax;Fedax leeft vooral als een kennisuitwisselingsnetwerk van data officers die bij de federale FODs (+ NBB) actief zijn . ;Bart Rousseau, Mathieu Tulpinck;Buiten DV geen vertegenwoordiging vanuit Vo, enkel federale entiteiten + iemand uit de EC.;1/kwartaal;Community. Voornaamste concrete inspanning is werk rond gedeelde federale data catalog ikv bestek Smals-BB-001.027/2023. Aanbesteding is toegekend aan Collibra + datalumen (consultancy). De gedeelde data catalog moet eerste aanzet vormen van gedeelde data governance strategie op federaal niveau.;Formeel;/;Strategisch;;/;
Taskforce quantum (voorbereiding) ;De taskforce brengt federale en regionale actoren samen om een Belgische quantumstrategie uit te werken, in lijn met de Europese plannen. Ze moet prioriteiten bepalen rond quantumtechnologie, cryptografie en cyberveiligheid en zorgen dat België tijdig klaar is voor de post-quantumtransitie.;;IT-pltaform;;;"Nieuwe taskdforce; De taskforce is opgezet in het kader van een mandaat van minister Vanessa Matz om een Belgische federale quantumstrategie uit te werken. De taskforce is opgezet in het kader van een mandaat van minister Vanessa Matz om een Belgische federale quantumstrategie uit te werken. De taskforce is opgezet in het kader van een mandaat van minister Vanessa Matz om een Belgische federale quantumstrategie uit te werken.";Formeel;Strategisch;;;
;;;;;;;;;;;
;;;;;;;;;;;
